doi,title,author,affiliations,abstract,keywords,journal,year,month,type,language,categories
10.1007/s10462-020-09932-4,Bioacoustic signal denoising: a review,"Xie,Jie;Colonna,JuanG.;Zhang,Jinglan",Jiangnan University;Jiangnan University;Jiangnan University;Universidade Federal de Amazonas;Queensland University of Technology (QUT),"Animal biodiversity has been experiencing rapid decline due to various reasons such as habitat loss and degradation, invasive species, and environment pollution. Recent advances in acoustic sensors provide a novel way to monitor animals through investigating collected bioacoustic recordings. To accurately monitor animals, the precondition is the high performance of developed bioacoustic signal recognition model. However, since bioacoustic recordings are often obtained in an open environment, various sources of noise will affect the audio quality, which causes problems for automated analysis of animal sound recordings. Although various methods have been developed for addressing the noise in different bioacoustic recordings, to the best of our knowledge, there is still no paper that reviews and summarizes those methods. The main aim of this paper is to provide a systematic survey of the existing literature related to bioacoustic signal denoising. By investigating the existing denoising methods for bioacoustic recordings, current challenges, possible opportunities, and future research directions are discussed and concluded.",Bioacoustic signal denoising;Bioacoustic signal enhancement;Noise reduction,ARTIFICIAL INTELLIGENCE REVIEW,2021,JUN,Review,English,"Computer Science, Artificial Intelligence"
10.1016/j.eswa.2020.113390,Bioacoustic signal classification in continuous recordings: Syllable-segmentation vs sliding-window,"Xie,Jie;Hu,Kai;Zhu,Mingying;Guo,Ya",Jiangnan University;Jiangnan University;Jiangnan University;University of Ottawa,"Frog population has been experiencing rapid decreases worldwide, which is regarded as one of the most critical threats to the global biodiversity. Therefore, large volumes of frog recordings have been collected for assessing this decline. Building an automatic frog species classification system is becoming ever more important. The traditional system for classifying frog species consists of four steps: (1) bioacoustic signal preprocessing, (2) segmentation, (3) feature extraction, (4) classification. Each prior step has a direct impact on the subsequent step. Consequently, the final classification performance is highly affected by the initial three steps. However, the performance of bioacoustic signal segmentation is highly dependent on the background noise of those environmental recordings. In this study, we propose an end-to-end approach for acoustic classification of frog species in continuous recordings. First, a sliding window is used to segment the audio signal into frames. Then, 1D-Convolution Neural Network and long short-term memory (CNN-LSTM) network is used to learn a representation from the raw audio signal, where three Convolutional layers and one LSTM layer are used to capture the signal's pattern. Experimental results in classifying 23 Australian frog species demonstrate the effectiveness of our proposed CNN-LSTM based method. Compared to the syllable-segmentation based frog species classification system, our proposed CNN-LSTM based approach is more robust in frog species classification under various noisy conditions. ",Bioacoustic signal classification;Bioacoustic signal segmentation;1D convolutional neural network,EXPERT SYSTEMS WITH APPLICATIONS,2020,AUG 15,Article,English,"Computer Science, Artificial Intelligence;Engineering, Electrical \& Electronic;Operations Research \& Management Science"
10.1111/j.1475-097X.1995.tb00439.x,A BIOACOUSTIC METHOD FOR TIMING OF RESPIRATION AT CARDIAC INVESTIGATIONS,"XIONG,C;HOK,B;STROMBERG,T;LOYD,D;WRANNE,B;ASK,P",Linkoping University;Linkoping University;Linkoping University,"At cardiac investigations Doppler echocardiography is an established technique for the recording of intracardial and intravascular now velocities. Transvalvular and venous flows are, however, markedly influenced by respiration. Since the start of inspiration is the important time of reference, accurate recording of the respiratory phase is important when analysing these flow velocities. A bioacoustic technique was therefore adopted to meet this demand and was tested in 10 normal subjects. Oesophageal balloon technique was used as a reference, and the bioacoustic technique was compared with a respiratory inductive plethysmograph. The average delay for the acoustic sensor signal compared to the oesophageal pressure changes was 205+/-46 (SD) ms, ranging from 160 to 320 ms for normal breathing, and is comparable to that of the respiratory inductive plethysmograph (210+/-90 ms). The bioacoustic technique is easier to apply than the respiratory inductive plethysmograph. The sensitivity to disturbances can be further reduced by signal processing and the method has clinical potential for the future.",DELAY TIME;BIOACOUSTIC SENSOR;INTRATHORACIC PRESSURE;ESOPHAGEAL BALLOON;RESPIRATORY INDUCTIVE PLETHYSMOGRAPH,CLINICAL PHYSIOLOGY,1995,MAR,Article,English,Physiology
10.1002/(SICI)1097-4636(199902)44:2<198::AID-JBM10>3.0.CO;2-P,Investigation of the mechanism of the bioacoustic effect,"Qian,Z;Sagers,RD;Pitt,WG",Brigham Young University;Brigham Young University,"Bacterial biofilms growing on implanted medical devices are difficult to eradicate, even with aggressive antibiotic therapy. However, application of ultrasound enhances the effectiveness of the antibiotic. The possible mechanisms of this phenomenon were explored in light of the observed influence of various ultrasonic parameters on the enhanced action of gentamicin against biofilms of Pseudomonas aeruginosa. It is postulated that ultrasound increases the transport of gentamicin through the cell membranes, which is the proposed rate determining step in killing by gentamicin. It is possible that the ultrasound perturbs the cell membrane and stimulates active uptake or permits passive uptake by temporarily disrupting the membrane or other structural cell components. The cell membrane disruption could be caused by high pressure, high shear stress, or cavitation. The dependence upon peak power density suggests that acoustic pressure plays a significant role. There is also a strong frequency component that causes the killing effect to decrease as frequency increases. A mathematical analysis of oscillatory shear stress on the cell shows that the magnitude of stress increases with frequency; thus, the hypothesis of oscillatory shear inducing antibiotic uptake is discounted. in addition, the shear displacement caused by shear forces is very small, so the shear disruption caused by oscillatory flow in an acoustic field has minimal impact. The experimental data also rule out the existence of transient cavitation in the bioacoustic effect. It is possible that stable cavitation and the accompanying microstreaming contribute to the bioacoustic effect. ",bacterial biofilms;implanted medical devices;antibiotics;ultrasound;bioacoustic effect,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,1999,FEB,Article,English,"Engineering, Biomedical;Materials Science, Biomaterials"
10.1007/s10336-016-1426-3,Information obtained from long-term acoustic recordings: applying bioacoustic techniques for monitoring wetland birds during breeding season,"Frommolt,Karl-Heinz",Leibniz Institut fur Evolutions und Biodiversitatsforschung,"Digital acoustic recording devices allow for recording of vocal activity of animals over long time periods and therefore open new perspectives for monitoring. In this paper results of a bioacoustic monitoring of birds in a wetland restoration area in Mecklenburg-Western Pomerania in Northeastern Germany are presented. Ninety minutes of sound recordings were made daily from March 29 until May 30 2012 using a four-channel recording setup. The recording schedule was mainly designed for nocturnal birds but also included dawn and dusk choruses. By listening to the recordings, supported by spectrographic visualization, 61 bird species could be detected. Despite the fact that most of the recordings were made during the night, no period of absolute silence was detected. The occurrence data allow some conclusions on the state of the bird species, e.g., breeding bird, resting during migration, or guest only. The bioacoustic monitoring revealed the occurrence of rare nocturnal birds such as Little Crake (Porzana parva), Spotted Crake (Porzana porzana) and Short-eared Owl (Asio flammeus). For the Eurasian Bittern (Botaurus stellaris) data on vocal activity and population size could be obtained. The study has shown that automated acoustic recordings can be applied for long-term monitoring of bird populations in remote areas.",Bioacoustic monitoring;Wetland birds;Vocalizations;Species composition;Phenology,JOURNAL OF ORNITHOLOGY,2017,JUL,Article,English,Ornithology
10.1016/j.sigpro.2006.03.020,An iterative kurtosis-based technique for the detection of nonstationary bioacoustic signals,"Rekanos,IoannisT.;Hadjileontiadis,LeontiosJ.",Aristotle University of Thessaloniki,"A novel technique for the detection of nonstationary bioacoustic signals, such as explosive lung and bowel sounds, in clinical auscultative recordings is presented. The technique uses kurtosis (zero-lag fourth-order statistics) to form an iterative kurtosis-based detector (IKD). The IKD iteratively detects important peaks of the kurtosis, estimated within a sliding window along the signal under investigation, which indicate the presence of non-Gaussianity in the raw signal. The efficiency of the IKD has been illustrated by experimental results that demonstrate its ability to clearly detect bioacoustic signals of diagnostic interest in the presence of background signal with high amplitude. ",bioacoustic signals;bowel sounds;detection;iterative kurtosis-based detector (IKD);lung sounds,SIGNAL PROCESSING,2006,DEC,Article,English,"Engineering, Electrical \& Electronic"
10.1016/j.ecoinf.2021.101331,On loss functions and CNNs for improved bioacoustic signal classification,"Xie,Jie;Hu,Kai;Guo,Ya;Zhu,Qibin;Yu,Jinghu",Jiangnan University;Jiangnan University;Jiangnan University,"Frog population has been experiencing rapid decreases worldwide, which is regarded as one of the most critical threats to global biodiversity. Therefore, large volumes of frog recordings have been collected for assessing this decline. Most previous studies focused on the syllable segmentation based frog call classification, which is sensitive to the background noise. Our recent study has used 1D-CNN and cross-entropy loss for frog call classification. However, the use of 1D-CNN is sensitive to the background noise and the imbalance of the number of different frog species is not considered. Therefore, this study aims to investigate loss functions and imbalance learning for bioacoustic signal classification in continuous recordings. Specifically, four types of loss functions are compared including cross-entropy loss, weighted cross-entropy loss, focal loss, and twin loss, which are combined with three CNN architectures: 1D-CNN, 2D-CNN, and 1D-2D-CNN. In addition, random oversampling is used for improving the classification performance of two imbalanced datasets. Experimental results show that (1) 1D-2D-CNN model can achieve the performance for classifying both Australia and Brazil frog calls. (2) Focal loss is the best among four loss functions for classifying low SNR recordings. (3) The highest macro F1-score for classifying both Australia and Brazil frog recordings are 89.26\%+/- 0.36\% and 93.47\%+/- 0.28\%.",Bioacoustic signal classification;Loss function;Convolutional neural network,ECOLOGICAL INFORMATICS,2021,SEP,Article,English,Ecology
10.1186/s40657-020-00227-4,Species limits in the Elegant Pitta (Pitta elegans) complex from Wallacea based on bioacoustic and morphometric analysis,"Yue,AryaY.;Ng,ElizeY.X.;Eaton,JamesA.;Rheindt,FrankE.",Bryn Mawr College;National University of Singapore,"Background The Elegant Pitta (Pitta elegans) complex displays a remarkable diversity of morphological and bioacoustic traits across five taxa currently recognized as subspecies. They differ in plumage characteristics (such as red versus black belly patches; supercilium color and extent; and white versus black throats), in lifestyle (resident versus migratory) and in vocalizations. We investigated the morphological, bioacoustic and ecological differences across all taxa after recent studies demostrated the importance of these traits in recognizing biological species limits across pittas. Methods Morphometric analysis was carried out by measuring tarsus, wing, tail and bill lengths of 15 specimens at the Natural History Museum, UK, and plumages were inspected across 106 unique individuals from four different repositories. Bioacoustic analysis was based on 134 range-wide sound recordings. Two types of calls, territorial calls and alarm calls, were analyzed using different sets of parameters. Principal component analysis and the Isler Criterion were applied to the measurements. Playback trials were conducted to explore the levels of response of each taxon to the call types of the other taxa. Results The territorial call of concinna exhibits a distinct two-element motif, while elegans, maria and virginalis utter a three-element motif in which the first two elements are given in quick succession. On the other hand, vigorsii, produces both two-element and three-element motifs with longer breaks in between elements. As further corroborated by the playback trials, the three taxa elegans, virginalis and maria form a tight vocal cluster, whereas each concinna and vigorsii are distinct. The alarm call turned out to be less diagnostic even though most taxa did roughly separate into different vocal clusters. Morphometric analysis failed to produce strong differences, but plumage distinctions among multiple taxa are pronounced. Conclusions We suggest splitting the Elegant Pitta into three biological species based on bioacoustic and-less so-plumage evidence: (1) Temminck's Elegant Pitta P. elegans (including subspecies elegans, virginalis and maria), (2) Wallace's Elegant Pitta P. concinna (monotypic), and (3) Banda Elegant Pitta P. vigorsii (monotypic).",Bioacoustic analysis;Elegant Pitta;Morphometric analysis;Pitta elegans;Territorial calls,AVIAN RESEARCH,2020,OCT 28,Article,English,Ornithology
10.1109/JSTSP.2019.2906465,Deep Archetypal Analysis Based Intermediate Matching Kernel for Bioacoustic Classification,"Thakur,Anshul;Rajan,Padmanabhan",Indian Institute of Technology System (IIT System);Indian Institute of Technology (IIT) - Mandi,"We introduce a new classification framework that combines the characteristics of matrix factorization with the discriminative capabilities of kernel methods. Short-time analysis of audio signals having different durations result in sets of feature vectors having different cardinalities. Support vector machines handle such varying-length feature sets using dynamic kernels, such as the intermediate matching kernel (IMK). IMK works by utilizing the so-called virtual vectors which select pairs of feature vectors to learn discrimination between classes. Existing formulations of IMK choose virtual vectors from the most information-hearing regions of classes, such as cluster means. This form of IMK completely ignores the feature vector pairs that lie around the class boundaries. To overcome this limitation, we propose an alternative formulation of IMK based on archetypal analysis (AA) and deep archetypal analysis (DAA). AA represents the data in terms of boundary elements, whereas DAA represents data in terms of both boundary and average elements. The proposed AA and DAA based intermediate matching kernel (AA/DAA-IMK) utilizes the elements generated from AA and DAA as the virtual feature vectors. Experimental evaluation on four different bioacoustic datasets show that the introduction of AA and DAA into the IMK framework leads to a noticeable improvement in classification accuracy.",Deep archetypal analysis based IMK;bioacoustic classification;bird species classification;kernel methods,IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,2019,MAY,Article,English,"Engineering, Electrical \& Electronic"
10.1016/j.ecoinf.2013.12.009,Applying bioacoustic methods for long-term monitoring of a nocturnal wetland bird,"Frommolt,Karl-Heinz;Tauchert,Klaus-Henry",Leibniz Institut fur Evolutions und Biodiversitatsforschung,"Bioacoustic monitoring is becoming more and more popular as a non-invasive method to study populations and communities of vocalizing animals. Acoustic pattern recognition techniques allow for automated identification of species and an estimation of species composition within ecosystems. Here we describe an approach where on the basis of long term acoustic recordings not only the occurrence of a species was documented, but where the number of vocalizing animals was also estimated. This approach allows us to follow up changes in population density and to define breeding sites in a changing environment. We present the results of five years of continuous acoustic monitoring of Eurasian bittern (Botaurus stellaris) in a recent wetland restoration area. Using a setup consisting of four four-channel recorders equipped with cardioid microphones we recorded vocal activity during entire nights. Vocalizations of bitterns were detected on the recordings by spectrogram template matching. On basis of time differences of arrival (TDOA) of the acoustic signals at different recording devices booming bitterns could be mapped using hyperbolic localization. During the study period not only changes in the number of calling birds but also changes in their spatial distribution connected with changes in habitat structure could be documented. This semi-automated approach towards monitoring birds described here could be applied to a wide range of monitoring tasks for animals with long distance vocalizations. ",Bioacoustic monitoring;Acoustic pattern recognition;Hyperbolic localization;Population size,ECOLOGICAL INFORMATICS,2014,MAY,Article,English,Ecology
